<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
20191002;130000;99.5000000;101.0000000;94.0000000;98.0000000;940
20191002;140000;95.0000000;96.0000000;92.5000000;95.0000000;660
20191002;150000;94.0000000;103.5000000;94.0000000;103.5000000;2370
20191002;160000;103.0000000;109.0000000;95.0000000;95.0000000;3130
20191002;170000;96.5000000;97.5000000;94.0000000;96.0000000;1290
20191002;180000;94.5000000;96.0000000;93.0000000;96.0000000;640
20191002;190000;95.5000000;96.0000000;92.5000000;94.0000000;460
20191003;110000;89.5000000;96.0000000;89.5000000;95.0000000;240
20191003;120000;94.5000000;94.5000000;94.0000000;94.5000000;60
20191003;130000;92.0000000;94.5000000;91.0000000;92.0000000;210
20191003;140000;92.0000000;93.0000000;92.0000000;93.0000000;40
20191003;150000;91.0000000;93.0000000;90.5000000;93.0000000;170
20191003;160000;91.0000000;91.0000000;90.5000000;90.5000000;40
20191003;170000;90.5000000;93.0000000;90.5000000;93.0000000;270
20191003;180000;91.5000000;93.5000000;91.5000000;93.5000000;150
20191004;120000;94.0000000;94.0000000;94.0000000;94.0000000;10
20191004;130000;91.0000000;91.0000000;90.5000000;90.5000000;40
20191004;140000;91.0000000;91.0000000;90.5000000;90.5000000;50
20191004;150000;90.0000000;91.5000000;88.5000000;91.5000000;290
20191004;160000;88.5000000;88.5000000;88.5000000;88.5000000;170
20191004;170000;88.5000000;88.5000000;85.5000000;87.0000000;2000
20191004;180000;87.0000000;87.5000000;86.5000000;87.0000000;220
20191004;190000;85.5000000;87.5000000;85.5000000;87.5000000;290
20191007;110000;85.5000000;86.0000000;84.5000000;84.5000000;160
20191007;120000;85.5000000;88.5000000;85.5000000;88.0000000;150
20191007;130000;86.0000000;86.0000000;85.5000000;85.5000000;40
20191007;140000;86.5000000;88.5000000;86.5000000;88.0000000;80
20191007;150000;86.5000000;86.5000000;86.5000000;86.5000000;10
20191007;160000;88.0000000;91.0000000;88.0000000;91.0000000;1370
20191007;170000;89.0000000;91.0000000;89.0000000;91.0000000;580
20191007;180000;88.0000000;88.0000000;87.5000000;87.5000000;20
20191007;190000;88.0000000;88.0000000;87.0000000;87.0000000;110
20191008;110000;85.5000000;85.5000000;85.5000000;85.5000000;10
20191008;120000;86.5000000;86.5000000;86.0000000;86.0000000;40
20191008;130000;88.0000000;88.0000000;86.0000000;86.0000000;80
20191008;140000;87.5000000;87.5000000;87.5000000;87.5000000;70
20191008;150000;86.0000000;86.0000000;86.0000000;86.0000000;20
20191008;160000;85.5000000;85.5000000;84.0000000;84.0000000;430
20191008;180000;84.5000000;84.5000000;84.0000000;84.0000000;100
20191008;190000;85.5000000;85.5000000;85.5000000;85.5000000;20
20191009;110000;88.0000000;99.5000000;86.0000000;86.0000000;360
20191009;120000;86.5000000;86.5000000;84.0000000;84.0000000;140
20191009;130000;86.5000000;86.5000000;86.5000000;86.5000000;20
20191009;140000;84.5000000;84.5000000;84.0000000;84.0000000;30
20191009;150000;83.5000000;83.5000000;83.5000000;83.5000000;30
20191009;160000;85.5000000;86.0000000;85.5000000;86.0000000;20
20191009;170000;85.5000000;86.0000000;85.0000000;85.0000000;240
20191009;180000;85.0000000;85.0000000;84.0000000;84.0000000;190
20191009;190000;85.0000000;85.0000000;85.0000000;85.0000000;10
20191010;110000;89.5000000;89.5000000;88.0000000;88.0000000;60
20191010;120000;88.0000000;88.0000000;88.0000000;88.0000000;10
20191010;130000;88.0000000;88.0000000;88.0000000;88.0000000;50
20191010;140000;88.0000000;88.0000000;88.0000000;88.0000000;50
20191010;160000;88.0000000;88.0000000;86.5000000;87.5000000;70
20191010;170000;87.5000000;87.5000000;87.5000000;87.5000000;10
20191010;190000;86.0000000;86.0000000;86.0000000;86.0000000;400
20191011;140000;84.5000000;86.0000000;82.0000000;86.0000000;210
20191011;150000;84.5000000;84.5000000;84.5000000;84.5000000;20
20191011;160000;84.0000000;85.0000000;84.0000000;85.0000000;20
20191011;170000;85.0000000;86.0000000;85.0000000;86.0000000;90
20191011;180000;84.5000000;86.0000000;84.5000000;86.0000000;70
20191011;190000;84.5000000;84.5000000;84.5000000;84.5000000;50
20191014;110000;83.5000000;83.5000000;83.5000000;83.5000000;10
20191014;120000;85.0000000;85.0000000;83.5000000;83.5000000;40
20191014;130000;83.5000000;83.5000000;83.5000000;83.5000000;220
20191014;140000;84.5000000;85.0000000;84.5000000;85.0000000;20
20191015;130000;84.5000000;84.5000000;84.0000000;84.0000000;30
20191015;140000;84.0000000;84.0000000;82.5000000;82.5000000;440
20191015;150000;84.0000000;84.0000000;84.0000000;84.0000000;10
20191015;160000;84.0000000;84.0000000;84.0000000;84.0000000;50
20191015;170000;84.0000000;84.5000000;84.0000000;84.0000000;40
20191015;180000;83.0000000;83.5000000;82.0000000;83.5000000;560
20191015;190000;83.0000000;83.0000000;83.0000000;83.0000000;20
20191016;110000;82.5000000;83.5000000;82.0000000;82.5000000;130
20191016;120000;82.5000000;83.5000000;82.5000000;83.5000000;70
20191016;150000;82.5000000;82.5000000;82.5000000;82.5000000;60
20191016;160000;82.5000000;82.5000000;82.5000000;82.5000000;10
20191016;170000;83.5000000;83.5000000;83.5000000;83.5000000;10
20191016;180000;83.5000000;84.0000000;83.5000000;84.0000000;40
20191017;110000;84.0000000;84.0000000;84.0000000;84.0000000;10
20191017;120000;82.0000000;82.0000000;82.0000000;82.0000000;10
20191017;130000;84.0000000;84.0000000;83.0000000;83.0000000;40
20191017;150000;82.5000000;88.5000000;82.5000000;88.0000000;290
20191017;170000;87.0000000;87.0000000;86.5000000;86.5000000;50
20191017;180000;86.0000000;87.5000000;84.5000000;87.0000000;290
20191017;190000;87.0000000;87.0000000;87.0000000;87.0000000;10
20191018;120000;86.5000000;86.5000000;86.0000000;86.0000000;60
20191018;130000;86.5000000;87.0000000;86.5000000;87.0000000;130
20191018;140000;87.0000000;87.5000000;87.0000000;87.5000000;190
20191018;150000;87.0000000;87.0000000;87.0000000;87.0000000;10
20191018;190000;87.0000000;87.0000000;87.0000000;87.0000000;70
20191021;110000;89.0000000;89.5000000;88.0000000;88.0000000;40
20191021;120000;84.0000000;84.0000000;84.0000000;84.0000000;20
20191021;130000;88.0000000;88.0000000;88.0000000;88.0000000;30
20191021;190000;87.0000000;87.0000000;87.0000000;87.0000000;10
20191022;110000;88.5000000;88.5000000;88.0000000;88.0000000;90
20191022;140000;87.0000000;88.0000000;87.0000000;87.0000000;70
20191022;160000;86.5000000;86.5000000;86.5000000;86.5000000;50
20191023;110000;87.0000000;87.0000000;87.0000000;87.0000000;10
20191023;130000;86.0000000;86.0000000;86.0000000;86.0000000;20
20191023;140000;86.5000000;86.5000000;86.5000000;86.5000000;50
20191024;120000;86.0000000;86.0000000;86.0000000;86.0000000;10
20191024;130000;84.0000000;84.5000000;82.5000000;84.5000000;150
20191024;150000;84.5000000;86.5000000;84.0000000;85.5000000;190
20191024;180000;85.0000000;85.0000000;85.0000000;85.0000000;50
20191025;110000;85.0000000;85.0000000;85.0000000;85.0000000;20
20191025;120000;84.0000000;84.5000000;84.0000000;84.0000000;60
20191025;130000;83.5000000;83.5000000;83.0000000;83.0000000;50
20191025;140000;83.5000000;83.5000000;83.5000000;83.5000000;10
20191025;160000;83.5000000;86.5000000;83.5000000;86.5000000;240
20191025;170000;86.0000000;86.0000000;84.5000000;85.5000000;60
20191025;180000;84.5000000;85.5000000;84.5000000;85.0000000;50
20191025;190000;85.0000000;85.0000000;84.5000000;84.5000000;20
20191028;110000;86.5000000;87.5000000;86.0000000;87.5000000;160
20191028;130000;86.0000000;87.5000000;86.0000000;87.5000000;30
20191028;150000;85.5000000;85.5000000;84.0000000;84.0000000;140
